url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_24?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-24,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",4.7,164,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Trustworthy-Online-Controlled-Experiments-Practical/dp/1108724264/ref=sr_1_287?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-287,Trustworthy Online Controlled Experiments: A Practical Guide to A/B Testing,4.7,151,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1108422098/ref=sr_1_22?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-22,"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",4.7,126,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Analyzing-Neural-Time-Data-Practice/dp/0262019876/ref=sr_1_270?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-270,Analyzing Neural Time Series Data: Theory and Practice (The MIT Press),4.7,73,0.0,58.42,0.0,65.53,0.0
https://www.amazon.com/Analyzing-Baseball-Data-Second-Chapman/dp/0815353510/ref=sr_1_111?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-111,"Analyzing Baseball Data with R, Second Edition (Chapman & Hall/CRC The R Series)",4.7,46,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/High-Dimensional-Probability-Introduction-Applications-Probabilistic/dp/1108415199/ref=sr_1_177?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-177,"High-Dimensional Probability: An Introduction with Applications in Data Science (Cambridge Series in Statistical and Probabilistic Mathematics, Series Number 47)",4.7,36,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Python-Data-Science-Step-Step-ebook/dp/B08WYF4SFF/ref=sr_1_29?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-29,Python for Data Science: The Ultimate Step-by-Step Guide to Python Programming. Discover How to Master Big Data Analysis and Understand Machine Learning,4.7,22,0.0,18.95,7.53,7.53,7.53
https://www.amazon.com/Fundamentals-Machine-Learning-Predictive-Analytics/dp/0262044692/ref=sr_1_150?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-150,"Fundamentals of Machine Learning for Predictive Data Analytics, second edition: Algorithms, Worked Examples, and Case Studies",4.7,21,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Data-Science-Machine-Learning-Mathematical/dp/1138492531/ref=sr_1_38?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-38,Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/Crc Machine Learning & Pattern Recognition),4.7,20,0.0,0.0,0.0,0.0,0.0
https://www.amazon.com/Educational-Leaders-Guide-Improvement-Science/dp/1975500954/ref=sr_1_245?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-245,"The Educational Leader's Guide to Improvement Science: Data, Design and Cases for Reflection (Improvement Science in Education and Beyond)",4.7,16,0.0,34.48,0.0,42.95,0.0
