url,title,stars,reviewers,cost,cost_2,kindle,kindle_2,kindle_3
https://www.amazon.com/Numerical-Python-Scientific-Applications-Matplotlib/dp/1484242459/ref=sr_1_130?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-130,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",4.5,62,0,10.06,0,0,0
https://www.amazon.com/Malware-Data-Science-Detection-Attribution/dp/1593278594/ref=sr_1_100?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021226&sr=8-100,Malware Data Science: Attack Detection and Attribution,4.5,60,0,31.96,0,0,0
https://www.amazon.com/Introduction-Data-Science-Jeffrey-Saltz/dp/150637753X/ref=sr_1_18?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021195&sr=8-18,An Introduction to Data Science,4.5,50,0,0,0,0,0
https://www.amazon.com/Practitioners-Guide-Graph-Data/dp/1492044075/ref=sr_1_285?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-285,The Practitioner's Guide to Graph Data: Applying Graph Thinking and Graph Technologies to Solve Complex Problems,4.5,42,0,0,0,0,0
https://www.amazon.com/ITIL-Lifecycle-Suite-2011-Set/dp/0113313233/ref=sr_1_61?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021211&sr=8-61,"ITIL Lifecycle Suite, 2011 Edition (5 Volume Set)",4.5,35,0,0,0,367.54,0
https://www.amazon.com/Regression-Analysis-Intuitive-Interpreting-Linear/dp/1735431184/ref=sr_1_252?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021272&sr=8-252,Regression Analysis: An Intuitive Guide for Using and Interpreting Linear Models,4.5,30,0,15.77,0,24.99,0
https://www.amazon.com/Statistical-Inference-via-Data-Science/dp/0367409828/ref=sr_1_171?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-171,Statistical Inference via Data Science: A ModernDive into R and the Tidyverse (Chapman & Hall/CRC The R Series),4.5,20,0,0,0,0,0
https://www.amazon.com/Analytics-Data-Science-Artificial-Intelligence/dp/0135192013/ref=sr_1_154?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-154,"Analytics, Data Science, & Artificial Intelligence: Systems for Decision Support",4.5,20,0,0,0,0,0
https://www.amazon.com/Dyadic-Analysis-Methodology-Social-Sciences/dp/1572309865/ref=sr_1_182?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021241&sr=8-182,Dyadic Data Analysis (Methodology in the Social Sciences),4.5,19,0,0,0,0,0
https://www.amazon.com/PYTHON-Programming-Intelligence-Step-Step/dp/B08W3KS5DW/ref=sr_1_294?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=data+science&qid=1619021286&sr=8-294,"PYTHON: Programming & Data Science - The Fastest Way to Become Proficient in Data Analysis, Artificial Intelligence, and Machine Learning, with Step-by-Step Exercises for Beginners (2 Books in 1)",4.5,19,0,7.51,0,49.9,0
